source_file,date,duration,map,mode,result,game_id,team_id,team_total_kills,team_total_deaths,team_total_assists,team_total_gold,team_kda,summoner_name,level,champion,champion_korean,kills,deaths,assists,cs,gold,kda_ratio
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,8,2,,,,,,그리,,Orianna,오리아나,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,8,2,,,,,,12시,,Vayne,베인,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,9,1,,,,,,마참,,Singed,신지드,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,9,1,,,,,,11시,,Heimerdinger,하이머딩거,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,9,1,,,,,,그리,,Teemo,티모,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,9,1,,,,,,곰,,Pyke,파이크,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,9,2,,,,,,12시,,Kalista,칼리스타,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,9,2,,,,,,귤아저씨,,Swain,스웨인,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,9,2,,,,,,엔디,,Leona,레오나,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,10,1,,,,,,마참,,Malphite,말파이트,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,10,1,,,,,,11시,,Jayce,제이스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,10,1,,,,,,그리,,Malzahar,말자하,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,10,1,,,,,,곰,,MissFortune,미스 포츈,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,10,2,,,,,,12시,,Renekton,레넥톤,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,10,2,,,,,,귤아저씨,,XinZhao,신 짜오,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,10,2,,,,,,엔디,,Lux,럭스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,11,1,,,,,,마참,,Yorick,요릭,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,11,1,,,,,,11시,,Pantheon,판테온,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,11,1,,,,,,그리,,Anivia,애니비아,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,11,2,,,,,,곰,,Azir,아지르,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,11,2,,,,,,12시,,Ambessa,암베사,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,11,2,,,,,,귤아저씨,,Ezreal,이즈리얼,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,11,2,,,,,,엔디,,Morgana,모르가나,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,12,1,,,,,,마참,,Rumble,럼블,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,12,1,,,,,,11시,,Quinn,퀸,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,12,1,,,,,,그리,,Zyra,자이라,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,12,2,,,,,,곰,,Caitlyn,케이틀린,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,12,2,,,,,,12시,,Mel,멜,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,12,2,,,,,,귤아저씨,,Alistar,알리스타,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,12,2,,,,,,엔디,,Fiddlesticks,피들스틱,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,13,1,,,,,,마참,,Xerath,제라스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,13,1,,,,,,엔디,,Mordekaiser,모데카이저,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,13,1,,,,,,11시,,Blitzcrank,블리츠크랭크,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,13,1,,,,,,그리,,Xayah,자야,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,13,2,,,,,,곰,,Galio,갈리오,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,13,2,,,,,,12시,,Aurora,오로라,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,13,2,,,,,,귤아저씨,,Olaf,올라프,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,14,1,,,,,,마참,,Lissandra,리산드라,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,14,1,,,,,,엔디,,Sejuani,세주아니,,,,,,
